Time,X,Y,Z
1184402.343,-0.567,-0.821,9.675
1184402.362,-0.377,-0.885,9.974
1184402.381,-0.377,-0.906,9.706
1184402.4,-0.402,-0.942,10.003
1184402.419,-0.318,-1.007,9.803
1184402.438,-0.285,-0.949,9.923
1184402.457,-0.256,-1.034,9.887
1184402.476,-0.213,-0.99,9.907
1184402.495,-0.24,-1.016,9.987
1184402.514,-0.304,-0.939,9.883
1184402.533,-0.287,-0.972,10.026
1184402.552,-0.277,-0.97,9.878
1184402.571,-0.208,-0.947,10.061
1184402.59,-0.147,-0.911,9.768
1184402.608,-0.096,-0.769,9.828
1184402.627,0.012,-0.739,9.673
1184402.646,-0.02,-0.573,9.865
1184402.665,-0.026,-0.512,9.729
1184402.684,-0.25,-0.346,9.845
1184402.703,-0.364,-0.266,9.872
1184402.722,-0.453,-0.214,9.914
1184402.741,-0.354,-0.216,9.911
1184402.76,-0.368,-0.267,9.719
1184402.779,-0.232,-0.293,9.778
